;location_accesstype_title;charging_hour;utilization;connector_count;congested_connectors;energy_consumption;charging_minutes
2020-09-17 00:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 01:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 02:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 03:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 04:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 05:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 06:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 07:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 08:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 09:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 10:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 11:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 12:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 13:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 14:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 15:00:00;Public access - Free access;2020-09-17 15:00:00+00:00;13.88888888888889;3.0;0.0;8.365231788079415;25.0
2020-09-17 16:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 17:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 18:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 19:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 20:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 21:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 22:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-17 23:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 00:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 01:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 02:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 03:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 04:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 05:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 06:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 07:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 08:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 09:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 10:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 11:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 12:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 13:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 14:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 15:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
2020-09-18 16:00:00;Public access - Free access;;0.0;3.0;0.0;0.0;0.0
