;location_accesstype_title;charging_hour;utilization;connector_count;congested_connectors;energy_consumption;charging_minutes
2019-09-13 00:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 01:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 02:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 03:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 04:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 05:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 06:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 07:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 08:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 09:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 10:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 11:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 12:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 13:00:00;Public access - Free access;2019-09-13 13:00:00+00:00;2.5757575757575757;11.0;0.0;10.991272727272733;17.0
2019-09-13 14:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 15:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 16:00:00;Public access - Free access;2019-09-13 16:00:00+00:00;2.4242424242424243;11.0;0.0;7.99087799315848;16.0
2019-09-13 17:00:00;Public access - Free access;2019-09-13 17:00:00+00:00;2.121212121212121;11.0;0.0;6.99201824401367;14.0
2019-09-13 18:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 19:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 20:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 21:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 22:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-13 23:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 00:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 01:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 02:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 03:00:00;Public access - Free access;2019-09-14 03:00:00+00:00;3.0303030303030303;11.0;0.0;13.496073298429335;20.0
2019-09-14 04:00:00;Public access - Free access;2019-09-14 04:00:00+00:00;0.9090909090909091;11.0;0.0;4.0488219895288005;6.0
2019-09-14 05:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 06:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 07:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 08:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 09:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 10:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 11:00:00;Public access - Free access;2019-09-14 11:00:00+00:00;6.363636363636363;11.0;0.0;4.415287988422574;42.0
2019-09-14 12:00:00;Public access - Free access;2019-09-14 12:00:00+00:00;9.090909090909092;11.0;1.0;6.307554269175107;60.0
2019-09-14 13:00:00;Public access - Free access;2019-09-14 13:00:00+00:00;1.9696969696969697;11.0;0.0;1.366636758321273;13.0
2019-09-14 14:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 15:00:00;Public access - Free access;2019-09-14 15:00:00+00:00;2.4242424242424243;11.0;0.0;10.355593220338985;16.0
2019-09-14 16:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 17:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 18:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 19:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 20:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
2019-09-14 21:00:00;Public access - Free access;;0.0;11.0;0.0;0.0;0.0
